year_start,name,name_unified,corrected_id,corrected_label,born,source,link_notes,other_notes
1760,williamdarling_0,"DARLING, W.",,"Darling, William",England,N,,
1760,54199841,"Davies, T.",,"Davies, Thomas",Scotland,Y,BBTI says educated at Edinburgh,
1760,bbti_19333,"DE HONDT, Peter Abraham",,,England,N,,
1760,24680588,"Debrett, J.",,"Debrett, John",England,N,,
1760,jamesdickson_0,"DICKSON, J.",,"Dickson, James",England,N,,
1760,jacdickson_0,"DICKSON, Jac.",,"Dickson, Jack",England,N,,
1760,85698879,"Dilly, C.",,"Dilly, Charles",England,N,,
1760,bbti_114102,"DILLY, Edward",,,England,N,,
1760,bbti_20453,"DODESLEY, P",,,England,N,Related to https://en.wikipedia.org/wiki/Robert_Dodsley? ,
1760,314332,"Dodsley, J.",,,England,N,,
1760,75336707,"Donaldson, A.",,"Donaldson, Alexander",Scotland,N,,
1760,bbti_20534,"DONALDSON, John",,,Scotland,N,,
1760,bbti_21381,"DURHAM, Thomas",,,England,N,,
1760,williamcreechedinburgh_0,"EDINBURGH, William",49278054,,Scotland,Y,,
1760,edward_2,Edward,bbti_114102,,England,N,,
1760,mrobertumedward_0,"EDWARD, Edward",bbti_114102,,England,N,,
1760,266844502,"Elliot, C.",,,Scotland,Y,https://www.britishmuseum.org/collection/term/BIOG191543,
1760,74082943,"Elmsly, P.",,"Elmsly, Peter",Scotland,Y,http://bbti.bodleian.ox.ac.uk/details/?traderid=22530,
1760,bbti_22797,"ETHERINGTON, Christopher",,,England,Y,http://bbti.bodleian.ox.ac.uk/details?traderid=22797,
1760,63907962,"Evans, T.",,"Evans, Thomas",Wales,Y,http://bbti.bodleian.ox.ac.uk/details?traderid=23098,
1760,tevans_3,"EVANS, T.",63907962,"Evans, Thomas",Wales,Y,,
1760,robertfleming_0,"FLEMING, R.",,"Fleming, Robert",Scotland,N,,
1760,bbti_25546,"FREDERICK, William",,,England,Y,,
1760,jmozleygainsbrough_0,"GAINSBROUGH, J.",,"Gainsbrough, J. Mozley",England,N,,
1760,gulielmumgordon_0,"GORDON, G.",willgordon_0,"Gordon, William",Scotland,N,,
1760,willgordon_0,"GORDON, W.",,"Gordon, William",Scotland,N,,
1760,gulgray_0,"GRAY, G.",67910662,"Gray, William",England,N,,
1760,67910662,"Gray, W.",,"Gray, William",England,N,,
1760,39273848,"Griffin, W.",,"Griffin, William",England,N,,
1760,wgriffin_3,"GRIFFIN, W.",39273848,"Griffin, William",England,N,,
1760,63976832,"Hill, John, 1714?-1775.",,,England,Y,,
1760,bbti_33760,"HINDMARSH, Robert",,,England,N,,
1760,66768685,"Hinton, J.",,,England,N,,
1760,bbti_34013,"HODGES, J",,"Hodges, James",England,N,,
1760,bbti_34268,"HOGG, Alexander",,,England,N,,
1760,bbti_34912,"HOOPER, Samuel",,,England,N,,
1760,bbti_112548,"HUGHS, John",,,England,N,,
1760,robertjamieson_0,"JAMIESON, R.",,"Jamieson, Robert",Scotland,N,,
1760,104488836,"Kearsley, G.",,"Kearsley, George",England,Y,https://www.britishmuseum.org/collection/term/BIOG85334,
1760,39241855,"Kincaid, Alexander, 1710 or 1711-1777.",,,Scotland,Y,,
1760,NV18403,"Law, B.",,"Law, Bedwell",England,N,,
1760,76369374,"Longman, T.",,"Longman, Thomas (1730 - 1797)",England,N,,
1760,colinmacfarquhar_0,"MACFARQUHAR, Colin",,,Scotland,N,,
1760,26937167,"Mathews, J.",,,England,N,,
1760,49572049,"Middleton, Erasmus, 1739-1805.",,,England,Y,https://en.wikipedia.org/wiki/Erasmus_Middleton,
